officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time,timestamp
0,0,0,1,0,other,2020-03-01 08:02:05,2020-03-01 07:58:11
0,0,0,0,0,other,2020-03-01 08:02:24,2020-03-01 07:58:12
0,0,0,1,0,other,2020-03-01 08:02:37,2020-03-01 07:58:13
0,0,0,0,0,other,2020-03-01 08:02:40,2020-03-01 07:58:14
0,0,0,0,1,other,2020-03-01 08:02:43,2020-03-01 07:58:15
0,0,0,0,0,personal,2020-03-01 08:13:38,2020-03-01 07:58:16
0,1,0,0,0,personal,2020-03-01 08:13:42,2020-03-01 07:58:17
0,0,0,0,0,personal,2020-03-01 08:17:58,2020-03-01 07:58:18
0,1,0,0,0,leisure,2020-03-01 08:17:59,2020-03-01 07:58:19
0,0,0,0,0,leisure,2020-03-01 08:22:11,2020-03-01 07:58:20
0,0,1,0,0,eat,2020-03-01 08:22:13,2020-03-01 07:58:21
0,0,0,0,0,eat,2020-03-01 08:33:47,2020-03-01 07:58:22
0,1,0,0,0,eat,2020-03-01 08:33:49,2020-03-01 07:58:23
1,0,0,0,0,other,2020-03-01 04:20:10,2020-03-01 04:15:35
0,0,0,0,0,other,2020-03-01 04:20:17,2020-03-01 04:15:36
0,0,1,0,0,eat,2020-03-01 04:20:23,2020-03-01 04:15:37
0,1,0,0,0,eat,2020-03-01 04:31:46,2020-03-01 04:15:38
0,0,0,0,0,eat,2020-03-01 04:31:51,2020-03-01 04:15:39
0,0,0,0,1,leisure,2020-03-01 04:31:55,2020-03-01 04:15:40
0,0,0,0,0,leisure,2020-03-01 04:37:02,2020-03-01 04:15:41
0,0,0,1,0,leisure,2020-03-01 04:37:04,2020-03-01 04:15:42
0,0,0,0,0,leisure,2020-03-01 04:37:07,2020-03-01 04:15:43
0,1,0,0,0,leisure,2020-03-01 04:37:08,2020-03-01 04:15:44
0,0,0,0,0,leisure,2020-03-01 04:57:14,2020-03-01 04:15:45
0,1,0,0,0,leisure,2020-03-01 04:57:16,2020-03-01 04:15:46
