hallwayCarp,timestamp
0,28919
0,28921
0,28923
1,28925
0,28926
0,28928
1,28929
1,28930
0,28931
0,28933
1,28934
0,28936
1,28937
0,28938
1,28939
0,28940
0,28942
1,28943
0,28945
1,28947
1,63194
0,63196
1,63197
0,63198
1,63200
0,63201
0,63203
1,63204
1,63205
0,63206
1,63207
1,63208
0,63209
1,63210
0,63211
1,63212
0,63214
1,63215
0,63216
1,63217
1,63218
1,63219
0,63220
1,63221
1,63222
0,63223
1,63225
0,63226
0,63228
1,63229
0,63230
1,63231
0,63232
1,63234
0,63235
1,63236
1,63237
0,63238
1,63239
0,63241
0,63242
0,63244
0,63245
0,63247
0,26857
0,26859
0,26861
0,26862
1,26864
1,26865
0,26866
1,26867
1,26868
1,26869
0,26870
1,26871
0,26873
1,26875
0,26876
1,26877
1,26878
1,6810
0,6812
1,6814
0,6816
1,6817
1,6818
1,6819
1,6820
1,6821
0,6822
1,6823
1,6824
1,6825
1,6826
0,6827
1,6828
0,6829
1,6830
0,6832
1,6833
1,6834
0,26799
0,26801
0,26803
0,26804
1,26806
1,26807
0,26808
1,26809
1,26810
1,26811
0,26812
1,26813
0,26815
1,26817
0,26818
1,26819
1,26820
1,63004
0,63005
1,63006
1,63007
1,63008
0,63010
1,63012
0,63013
0,26833
0,26835
1,26837
0,26838
1,26839
0,26841
1,26843
0,26844
1,26845
1,26846
0,26847
1,26848
1,26849
1,62778
0,62779
1,62780
1,62781
1,62782
0,62784
1,62786
0,62787
0,27049
0,27051
1,27053
0,27054
1,27055
1,27056
0,27057
0,27059
1,27061
1,63214
0,63215
1,63216
1,63217
1,63218
0,63220
1,63222
0,63223
0,27095
0,27097
1,27099
0,27100
1,27101
1,27102
0,27103
0,27105
1,27107
1,63164
0,63165
1,63166
1,63167
1,63168
0,63170
1,63172
0,63173
0,27251
0,27253
1,27255
0,27256
1,27257
0,27259
1,27261
0,27262
1,27263
1,27265
0,27267
1,27269
1,27270
1,27271
0,27272
1,27273
1,8077
0,8079
1,8080
0,8081
1,8082
1,8083
0,8084
0,28676
0,28678
0,28680
1,28682
0,28683
0,28685
1,28686
1,28687
0,28688
0,28690
1,28691
0,28693
1,28694
0,28695
1,28696
0,28697
0,28699
1,28700
0,28702
1,28704
1,63208
0,63210
1,63211
1,63212
0,63213
1,63214
1,63215
0,63216
1,63217
0,63218
1,63219
0,63220
1,63221
0,63222
1,63223
1,63224
0,63225
0,63227
1,63228
0,63230
0,26755
0,26757
0,26759
1,26761
0,26762
1,26763
0,26764
1,26765
1,62884
0,62885
1,62886
1,62887
1,62888
