kitchenCarp,timestamp
0,28919
0,28921
0,28923
0,28925
1,28926
1,28928
0,28929
0,28930
0,28931
0,28933
0,28934
0,28936
0,28937
0,28938
0,28939
0,28940
0,28942
0,28943
0,28945
0,28947
0,63194
0,63196
0,63197
0,63198
0,63200
1,63201
1,63203
0,63204
0,63205
0,63206
0,63207
0,63208
1,63209
0,63210
0,63211
0,63212
0,63214
0,63215
0,63216
0,63217
0,63218
0,63219
0,63220
0,63221
0,63222
0,63223
0,63225
0,63226
0,63228
0,63229
1,63230
0,63231
0,63232
0,63234
0,63235
0,63236
0,63237
0,63238
0,63239
0,63241
0,63242
0,63244
0,63245
0,63247
0,26857
0,26859
0,26861
0,26862
0,26864
1,26865
1,26866
0,26867
1,26868
0,26869
0,26870
0,26871
0,26873
0,26875
0,26876
0,26877
0,26878
0,6810
0,6812
0,6814
0,6816
0,6817
0,6818
0,6819
0,6820
0,6821
0,6822
0,6823
0,6824
0,6825
0,6826
0,6827
0,6828
0,6829
0,6830
0,6832
0,6833
0,6834
0,26799
0,26801
0,26803
0,26804
0,26806
1,26807
1,26808
0,26809
1,26810
0,26811
0,26812
0,26813
0,26815
0,26817
0,26818
0,26819
0,26820
0,63004
1,63005
0,63006
0,63007
0,63008
0,63010
0,63012
0,63013
0,26833
0,26835
0,26837
0,26838
0,26839
0,26841
0,26843
1,26844
1,26845
0,26846
0,26847
0,26848
0,26849
0,62778
1,62779
0,62780
0,62781
0,62782
0,62784
0,62786
0,62787
0,27049
0,27051
0,27053
1,27054
1,27055
0,27056
0,27057
0,27059
0,27061
0,63214
1,63215
0,63216
0,63217
0,63218
0,63220
0,63222
0,63223
0,27095
0,27097
0,27099
1,27100
1,27101
0,27102
0,27103
0,27105
0,27107
0,63164
1,63165
0,63166
0,63167
0,63168
0,63170
0,63172
0,63173
0,27251
0,27253
0,27255
1,27256
0,27257
0,27259
0,27261
0,27262
0,27263
0,27265
0,27267
0,27269
0,27270
0,27271
0,27272
0,27273
0,8077
0,8079
0,8080
1,8081
1,8082
0,8083
0,8084
0,28676
0,28678
0,28680
0,28682
1,28683
1,28685
0,28686
0,28687
0,28688
0,28690
0,28691
0,28693
0,28694
0,28695
0,28696
0,28697
0,28699
0,28700
0,28702
0,28704
0,63208
0,63210
0,63211
0,63212
0,63213
0,63214
0,63215
0,63216
0,63217
0,63218
0,63219
0,63220
0,63221
1,63222
1,63223
0,63224
0,63225
0,63227
0,63228
0,63230
0,26755
0,26757
0,26759
0,26761
1,26762
0,26763
0,26764
0,26765
0,62884
1,62885
0,62886
0,62887
0,62888
