officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-04 07:30:00
0,0,0,0,0,0,sleep,2020-03-04 07:30:25
0,0,0,0,0,1,sleep,2020-03-04 07:30:27
0,0,0,0,0,0,sleep,2020-03-04 07:41:49
0,0,0,1,0,0,sleep,2020-03-04 07:41:50
0,0,1,0,0,0,sleep,2020-03-04 07:41:56
0,0,1,1,0,0,sleep,2020-03-04 07:52:10
0,0,0,1,0,0,eat,2020-03-04 07:52:11
1,0,0,0,0,0,eat,2020-03-04 07:52:19
0,0,0,0,0,0,eat,2020-03-04 07:52:33
1,0,0,0,0,0,eat,2020-03-04 07:52:34
0,0,0,0,0,0,eat,2020-03-04 07:52:49
0,0,0,1,0,0,eat,2020-03-04 07:52:51
0,0,0,0,0,0,eat,2020-03-04 07:53:09
