officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time
0,1,0,0,0,other,2020-03-04 05:32:20
0,0,0,0,0,other,2020-03-04 05:32:24
0,0,0,1,0,other,2020-03-04 05:32:27
0,0,0,0,0,other,2020-03-04 05:32:32
0,0,0,1,0,sleep,2020-03-04 05:32:33
0,0,0,0,1,sleep,2020-03-04 06:12:42
0,0,0,0,0,sleep,2020-03-04 06:16:21
0,1,0,0,0,sleep,2020-03-04 06:16:22
0,0,0,0,0,sleep,2020-03-04 06:16:25
0,0,1,0,0,eat,2020-03-04 06:16:27
0,0,0,0,0,eat,2020-03-04 06:33:17
1,0,0,0,0,eat,2020-03-04 06:33:21
0,1,0,0,0,eat,2020-03-04 07:20:07
0,0,0,0,0,work,2020-03-04 07:50:16
0,0,0,0,1,leisure,2020-03-04 07:50:18
0,0,0,0,0,leisure,2020-03-04 07:55:12
0,1,0,0,0,personal,2020-03-04 07:55:13
0,0,0,0,0,personal,2020-03-04 08:26:43
0,1,0,0,0,leisure,2020-03-04 08:26:44
0,0,0,0,0,leisure,2020-03-04 08:26:45
0,0,1,0,0,leisure,2020-03-04 08:26:47
0,0,0,0,0,leisure,2020-03-04 08:26:56
1,0,0,0,0,leisure,2020-03-04 08:26:57
0,0,0,0,0,leisure,2020-03-04 08:57:04
0,1,0,0,0,leisure,2020-03-04 08:57:05
0,0,0,0,0,leisure,2020-03-04 09:47:11
0,0,0,0,1,leisure,2020-03-04 09:47:12
0,0,0,1,0,leisure,2020-03-04 09:47:13
