officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-06 20:20:07
0,0,0,0,0,0,eat,2020-03-06 20:20:15
0,0,0,0,0,1,eat,2020-03-06 20:20:17
0,0,0,0,0,0,eat,2020-03-06 20:25:04
0,0,0,1,0,0,eat,2020-03-06 20:25:05
0,1,0,1,0,0,eat,2020-03-06 20:25:06
0,1,0,0,0,0,eat,2020-03-06 20:25:09
0,1,0,1,0,0,eat,2020-03-06 20:25:12
0,0,0,1,0,0,eat,2020-03-06 20:25:13
1,0,0,1,0,0,eat,2020-03-06 20:25:15
1,0,0,0,0,0,eat,2020-03-06 20:25:16
0,0,0,1,0,0,eat,2020-03-06 20:25:24
0,1,0,0,0,0,leisure,2020-03-06 20:25:25
0,0,0,0,0,0,leisure,2020-03-06 22:27:51
0,1,0,0,0,0,leisure,2020-03-06 22:27:52
0,1,0,1,0,0,leisure,2020-03-06 22:27:55
0,0,0,1,0,0,leisure,2020-03-06 22:27:56
0,0,0,0,0,1,leisure,2020-03-06 22:27:57
0,0,0,1,0,0,leisure,2020-03-06 22:28:38
0,1,0,0,0,0,leisure,2020-03-06 22:28:39
0,1,0,1,0,0,leisure,2020-03-06 22:29:21
0,0,0,1,0,0,leisure,2020-03-06 22:29:22
0,1,0,1,0,0,leisure,2020-03-06 22:29:23
1,0,0,0,0,0,leisure,2020-03-06 22:29:24
0,0,0,1,0,0,leisure,2020-03-06 22:29:29
0,0,0,0,0,0,leisure,2020-03-06 22:29:33
