officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,other,2020-03-01 08:02:05
0,0,0,0,0,other,2020-03-01 08:02:24
0,0,0,1,0,other,2020-03-01 08:02:37
0,0,0,0,0,other,2020-03-01 08:02:40
0,0,0,0,1,other,2020-03-01 08:02:43
0,0,0,0,0,personal,2020-03-01 08:13:38
0,1,0,0,0,personal,2020-03-01 08:13:42
0,0,0,0,0,personal,2020-03-01 08:17:58
0,1,0,0,0,leisure,2020-03-01 08:17:59
0,0,0,0,0,leisure,2020-03-01 08:22:11
0,0,1,0,0,eat,2020-03-01 08:22:13
0,0,0,0,0,eat,2020-03-01 08:33:47
0,1,0,0,0,eat,2020-03-01 08:33:49
