officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,0,1,0,sleep,2020-03-07 10:00:07
0,0,0,0,0,0,sleep,2020-03-07 10:00:22
0,0,0,0,0,1,sleep,2020-03-07 10:00:23
0,0,0,0,0,0,sleep,2020-03-07 10:05:57
0,0,0,1,0,0,personal,2020-03-07 10:05:58
0,0,1,0,0,0,personal,2020-03-07 10:06:02
0,0,0,1,0,0,personal,2020-03-07 10:39:41
0,0,0,0,0,0,eat,2020-03-07 10:39:44
0,0,0,0,1,0,eat,2020-03-07 10:39:45
0,0,0,0,0,0,eat,2020-03-07 10:43:38
0,0,0,1,0,0,eat,2020-03-07 10:43:39
0,1,0,0,0,0,eat,2020-03-07 10:43:40
0,0,0,1,0,0,eat,2020-03-07 12:44:11
0,0,0,0,0,0,leisure,2020-03-07 12:44:21
0,0,0,1,0,0,leisure,2020-03-07 15:43:20
0,0,0,0,0,0,other,2020-03-07 15:43:27
0,0,0,0,0,1,other,2020-03-07 15:43:28
0,0,0,0,0,0,other,2020-03-07 15:45:34
0,0,0,1,0,0,other,2020-03-07 15:45:35
0,1,0,1,0,0,other,2020-03-07 15:45:37
0,0,0,1,0,0,other,2020-03-07 15:45:38
1,0,0,0,0,0,other,2020-03-07 15:45:39
0,0,0,1,0,0,work,2020-03-07 16:17:22
0,0,0,0,0,0,work,2020-03-07 16:17:30
