officeCarp,livingCarp,kitchenCarp,bedroomCarp,bathroomCarp,Activity,Time
1,0,0,0,0,other,2020-03-01 04:20:10
0,0,0,0,0,other,2020-03-01 04:20:17
0,0,1,0,0,eat,2020-03-01 04:20:23
0,1,0,0,0,eat,2020-03-01 04:31:46
0,0,0,0,0,eat,2020-03-01 04:31:51
0,0,0,0,1,leisure,2020-03-01 04:31:55
0,0,0,0,0,leisure,2020-03-01 04:37:02
0,0,0,1,0,leisure,2020-03-01 04:37:04
0,0,0,0,0,leisure,2020-03-01 04:37:07
0,1,0,0,0,leisure,2020-03-01 04:37:08
0,0,0,0,0,leisure,2020-03-01 04:57:14
0,1,0,0,0,leisure,2020-03-01 04:57:16
0,0,0,0,0,leisure,2020-03-01 04:57:19
0,0,0,1,0,leisure,2020-03-01 04:57:20
