officeCarp,livingCarp,kitchenCarp,hallwayCarp,bedroomCarp,bathroomCarp,Activity,Time
0,0,0,1,0,0,work,2020-03-07 19:43:07
0,0,0,0,0,0,leisure,2020-03-07 19:43:15
0,0,0,0,0,1,leisure,2020-03-07 19:43:16
0,0,0,1,0,0,leisure,2020-03-07 19:43:53
1,0,0,1,0,0,leisure,2020-03-07 19:43:58
1,0,0,0,0,0,leisure,2020-03-07 19:43:58
1,0,0,1,0,0,work,2020-03-07 20:41:07
0,0,0,1,0,0,work,2020-03-07 20:41:08
0,1,0,0,0,0,work,2020-03-07 20:41:09
0,1,0,1,0,0,work,2020-03-07 20:41:13
0,1,0,0,0,0,work,2020-03-07 20:41:14
0,0,0,1,0,0,work,2020-03-07 22:10:08
0,0,0,0,0,1,leisure,2020-03-07 22:10:09
0,0,0,1,0,0,leisure,2020-03-07 22:10:46
0,0,1,0,0,0,leisure,2020-03-07 22:10:52
0,0,1,1,0,0,leisure,2020-03-07 22:13:03
0,0,0,1,0,0,leisure,2020-03-07 22:13:04
0,0,0,0,1,0,leisure,2020-03-07 22:13:10
0,0,0,0,0,0,leisure,2020-03-07 22:15:29
0,0,0,0,0,1,personal,2020-03-07 22:15:30
0,0,0,1,0,0,personal,2020-03-07 22:24:43
0,0,0,0,0,0,personal,2020-03-07 22:24:44
0,0,0,0,1,0,personal,2020-03-07 22:24:46
